District,Route Name,Beneficiary Villages,School Name,Bus Number
"Chhotaudepur","chhotaudepur 
rendha night","singla/luni/panvad/karajwant/bhumaswada/roadha/
rumadia/aamsota/samalwant/gozariya","S.F.HIGH SCHOOL CHHOTAUDEPUR","(19) GJ-18-ZT-2610"
"Chhotaudepur","chhota udaypur 
nasvali gojariya","singla/panvad/dungarvat/karjvat/kavat/aathadungri/
vagach/bhakha/boriyad/nasvadi","S.F.HIGH SCHOOL CHHOTAUDEPUR","(16) GJ-18-ZT-2638"
"Chhotaudepur","Chhota udepur
kothara","chilarwant/khajuriya/odd/zoz/fangiya/pachiyasal/zamran/kakadkund/singalaja/mithibor/dhorkuwa/gadola/mad/kothara","S.K.RATHVA HIGH SCHOOL, MITHIBOR","(6) GJ-18-ZT-2581"
"Chhotaudepur","Chhota udepur
kothara","chilarwant/khajuriya/odd/zoz/fangiya/pachiyasal/zamran/kakadkund/singalaja/mithibor/dhorkuwa/gadola/mad/kothara","SHREE S. G. PATEL UCHCHATAR UTTAR BUNIYADI VIDHYALAY, ZOZ ","(6) GJ-18-ZT-2581"
"Chhotaudepur","chhota udaypur 
muvada night","ghelwant/dhandoda/tejgadh/pavijetpur/umarwa/kadwa/bhikhapura/muvadal","SMT V. R SHAH SARVAJANIK HIGHSCHOOL PAVI-JETPUR","(17) GJ-18-ZT-2571"
"Chhotaudepur","Chhotaudepur
pavi-harvant","piplej/nalej/olyamba/padharwant/chacher/raysingpura/dharmej/maldi/vardi/harwant/amroli/aniyadri/ratanpur/jetpur/pavi","SMT V. R SHAH SARVAJANIK HIGHSCHOOL PAVI-JETPUR","(1) GJ-18-ZT-2537"
"Chhotaudepur","chhota udaypur 
muvada night","ghelwant/dhandoda/tejgadh/pavijetpur/umarwa/kadwa/bhikhapura/muvadal","SHETH SHREE M.A.KADWALWALA HIGHSCHOOL","(17) GJ-18-ZT-2571"
"Chhotaudepur","chhota udaypur 
chalamdi nasvali","piplej/singla/panvad/karajwant/dungarwat/kawant/motisadhli/dewat/aathadungri/wagach/bhakha/boriyad/nasvadi/chalamali","GOVERNMENT SECONDARY SCHOOL, KARAJVANT ","(14) GJ-18-ZT-2743"
"Chhotaudepur","chhotaudepur 
rendha night","singla/luni/panvad/karajwant/bhumaswada/roadha/
rumadia/aamsota/samalwant/gozariya","SHREE S C SHAH HIGHSCHOOL PANVAD","(19) GJ-18-ZT-2610"
"Chhotaudepur","Chhotaudepur
Nasvadi-Vagach","singla/panvad/karjvat/dungarvat/kavat/devat/aathadungri/vagach/bhakha/boriyad/nasvadi","SMT M.R Raulji Sarvajanik Vidhyalay Vaghach ","(4) GJ-18-ZT-2578"
"Chhotaudepur","Chhotaudepur
Goyavant","singla/panvad/karjvat/dungarvat/kavat/aathadungri/vagach/bhakha/nasvadi/tankhla/katkuva","SMT M.R Raulji Sarvajanik Vidhyalay Vaghach ","(3) GJ-18-ZT-2842"
"Chhotaudepur","chhota udaypur 
nasvali gojariya","singla/panvad/dungarvat/karjvat/kavat/aathadungri/
vagach/bhakha/boriyad/nasvadi","SMT M.R Raulji Sarvajanik Vidhyalay Vaghach ","(16) GJ-18-ZT-2638"
"Chhotaudepur","Chhotaudepur
Nasvadi","piplej/singla/panvad/karajwant/dungarwat/kawant/motisadhli/dewat/aathadungri/wagach/bhakha/boriyad/naswadi/asar/chavariya/rangpur","SMT M.R Raulji Sarvajanik Vidhyalay Vaghach ","(2) GJ-18-ZT-2767"
